Gate Type,Input(s),Total Subthreshold Leakage (nA),Total Gate Leakage (nA),Total Body Leakage (nA),Total Leakage (nA)
AND4,0111,69.10,45.72,2.42,464.53
AND4,1000,69.10,45.72,2.42,352.49
AND4,1001,69.10,45.72,2.42,393.98
AND4,1010,69.10,45.72,2.42,356.79
AND4,1011,69.10,45.72,2.42,427.33
AND4,1100,69.10,45.72,2.42,432.11
AND4,1101,69.10,45.72,2.42,473.61
AND4,1110,69.10,45.72,2.42,436.41
AND4,1111,69.10,45.72,2.42,658.32
OR3,000,83.51,50.63,14.48,366.53
OR3,001,69.10,45.72,2.42,309.73
OR3,010,83.51,50.63,14.48,408.02
OR3,011,69.10,45.72,2.42,351.22
OR3,100,83.51,50.63,14.48,370.83
OR3,101,69.10,45.72,2.42,314.03
OR3,110,83.51,50.63,14.48,450.45
OR3,111,69.10,45.72,2.42,545.02
OR4,0000,69.10,45.72,2.42,625.01
OR4,0001,69.10,45.72,2.42,403.10
OR4,0010,69.10,45.72,2.42,394.02
OR4,0011,69.10,45.72,2.42,419.45
OR4,0100,69.10,45.72,2.42,440.30
OR4,0101,69.10,45.72,2.42,272.86
OR4,0110,69.10,45.72,2.42,263.78
OR4,0111,69.10,45.72,2.42,289.20
OR4,1000,69.10,45.72,2.42,431.22
OR4,1001,69.10,45.72,2.42,263.78
OR4,1010,69.10,45.72,2.42,254.70
OR4,1011,69.10,45.72,2.42,280.13
OR4,1100,69.10,45.72,2.42,456.64
OR4,1101,69.10,45.72,2.42,289.20
OR4,1110,69.10,45.72,2.42,280.13
OR4,1111,69.10,45.72,2.42,305.55
Inverter,0,83.51,50.63,14.48,148.62
Inverter,1,69.10,45.72,2.42,117.24
NAND,00,69.10,45.72,2.42,130.28
NAND,01,69.10,45.72,2.42,171.77
NAND,10,69.10,45.72,2.42,134.58
NAND,11,69.10,45.72,2.42,230.54
NOR,00,69.10,45.72,2.42,197.24
NOR,01,69.10,45.72,2.42,71.29
NOR,10,69.10,45.72,2.42,62.21
NOR,11,69.10,45.72,2.42,87.64
AND2,00,69.10,45.72,2.42,247.51
AND2,01,69.10,45.72,2.42,289.01
AND2,10,69.10,45.72,2.42,251.81
AND2,11,83.51,50.63,14.48,379.16
AND3,000,83.51,50.63,14.48,576.39
AND3,001,69.10,45.72,2.42,449.05
AND3,010,83.51,50.63,14.48,391.68
AND3,011,69.10,45.72,2.42,318.81
AND3,100,83.51,50.63,14.48,382.60
AND3,101,69.10,45.72,2.42,309.73
AND3,110,83.51,50.63,14.48,408.02
AND3,111,69.10,45.72,2.42,335.15
AND4,0000,69.10,45.72,2.42,348.19
AND4,0001,69.10,45.72,2.42,389.68
AND4,0010,69.10,45.72,2.42,352.49
AND4,0011,69.10,45.72,2.42,423.03
AND4,0100,69.10,45.72,2.42,389.68
AND4,0101,69.10,45.72,2.42,431.18
AND4,0110,69.10,45.72,2.42,393.98
AND4,0111,69.10,45.72,2.42,464.53
AND4,1000,69.10,45.72,2.42,352.49
AND4,1001,69.10,45.72,2.42,393.98
AND4,1010,69.10,45.72,2.42,356.79
AND4,1011,69.10,45.72,2.42,427.33
AND4,1100,69.10,45.72,2.42,432.11
AND4,1101,69.10,45.72,2.42,473.61
AND4,1110,69.10,45.72,2.42,436.41
AND4,1111,69.10,45.72,2.42,658.32
OR3,000,83.51,50.63,14.48,366.53
OR3,001,69.10,45.72,2.42,309.73
OR3,010,83.51,50.63,14.48,408.02
OR3,011,69.10,45.72,2.42,351.22
OR3,100,83.51,50.63,14.48,370.83
OR3,101,69.10,45.72,2.42,314.03
OR3,110,83.51,50.63,14.48,450.45
OR3,111,69.10,45.72,2.42,545.02
OR4,0000,69.10,45.72,2.42,625.01
OR4,0001,69.10,45.72,2.42,403.10
OR4,0010,69.10,45.72,2.42,394.02
OR4,0011,69.10,45.72,2.42,419.45
OR4,0100,69.10,45.72,2.42,440.30
OR4,0101,69.10,45.72,2.42,272.86
OR4,0110,69.10,45.72,2.42,263.78
OR4,0111,69.10,45.72,2.42,289.20
OR4,1000,69.10,45.72,2.42,431.22
OR4,1001,69.10,45.72,2.42,263.78
OR4,1010,69.10,45.72,2.42,254.70
OR4,1011,69.10,45.72,2.42,280.13
OR4,1100,69.10,45.72,2.42,456.64
OR4,1101,69.10,45.72,2.42,289.20
OR4,1110,69.10,45.72,2.42,280.13
OR4,1111,69.10,45.72,2.42,305.55
Inverter,0,83.51,50.63,14.48,148.62
Inverter,1,69.10,45.72,2.42,117.24
NAND,00,69.10,45.72,2.42,130.28
NAND,01,69.10,45.72,2.42,171.77
NAND,10,69.10,45.72,2.42,134.58
NAND,11,69.10,45.72,2.42,230.54
NOR,00,69.10,45.72,2.42,197.24
NOR,01,69.10,45.72,2.42,71.29
NOR,10,69.10,45.72,2.42,62.21
NOR,11,69.10,45.72,2.42,87.64
AND2,00,69.10,45.72,2.42,247.51
AND2,01,69.10,45.72,2.42,289.01
AND2,10,69.10,45.72,2.42,251.81
AND2,11,83.51,50.63,14.48,379.16
AND3,000,83.51,50.63,14.48,576.39
AND3,001,69.10,45.72,2.42,449.05
AND3,010,83.51,50.63,14.48,391.68
AND3,011,69.10,45.72,2.42,318.81
AND3,100,83.51,50.63,14.48,382.60
AND3,101,69.10,45.72,2.42,309.73
AND3,110,83.51,50.63,14.48,408.02
AND3,111,69.10,45.72,2.42,335.15
AND4,0000,69.10,45.72,2.42,348.19
AND4,0001,69.10,45.72,2.42,389.68
AND4,0010,69.10,45.72,2.42,352.49
AND4,0011,69.10,45.72,2.42,423.03
AND4,0100,69.10,45.72,2.42,389.68
AND4,0101,69.10,45.72,2.42,431.18
AND4,0110,69.10,45.72,2.42,393.98
AND4,0111,69.10,45.72,2.42,464.53
AND4,1000,69.10,45.72,2.42,352.49
AND4,1001,69.10,45.72,2.42,393.98
AND4,1010,69.10,45.72,2.42,356.79
AND4,1011,69.10,45.72,2.42,427.33
AND4,1100,69.10,45.72,2.42,432.11
AND4,1101,69.10,45.72,2.42,473.61
AND4,1110,69.10,45.72,2.42,436.41
AND4,1111,69.10,45.72,2.42,658.32
OR3,000,83.51,50.63,14.48,366.53
OR3,001,69.10,45.72,2.42,309.73
OR3,010,83.51,50.63,14.48,408.02
OR3,011,69.10,45.72,2.42,351.22
OR3,100,83.51,50.63,14.48,370.83
OR3,101,69.10,45.72,2.42,314.03
OR3,110,83.51,50.63,14.48,450.45
OR3,111,69.10,45.72,2.42,545.02
OR4,0000,69.10,45.72,2.42,625.01
OR4,0001,69.10,45.72,2.42,403.10
OR4,0010,69.10,45.72,2.42,394.02
OR4,0011,69.10,45.72,2.42,419.45
OR4,0100,69.10,45.72,2.42,440.30
OR4,0101,69.10,45.72,2.42,272.86
OR4,0110,69.10,45.72,2.42,263.78
OR4,0111,69.10,45.72,2.42,289.20
OR4,1000,69.10,45.72,2.42,431.22
OR4,1001,69.10,45.72,2.42,263.78
OR4,1010,69.10,45.72,2.42,254.70
OR4,1011,69.10,45.72,2.42,280.13
OR4,1100,69.10,45.72,2.42,456.64
OR4,1101,69.10,45.72,2.42,289.20
OR4,1110,69.10,45.72,2.42,280.13
OR4,1111,69.10,45.72,2.42,305.55
Inverter,0,83.51,50.63,14.48,148.62
Inverter,1,69.10,45.72,2.42,117.24
NAND,00,69.10,45.72,2.42,130.28
NAND,01,69.10,45.72,2.42,171.77
NAND,10,69.10,45.72,2.42,134.58
NAND,11,69.10,45.72,2.42,230.54
NOR,00,69.10,45.72,2.42,197.24
NOR,01,69.10,45.72,2.42,71.29
NOR,10,69.10,45.72,2.42,62.21
NOR,11,69.10,45.72,2.42,87.64
AND2,00,69.10,45.72,2.42,247.51
AND2,01,69.10,45.72,2.42,289.01
AND2,10,69.10,45.72,2.42,251.81
AND2,11,83.51,50.63,14.48,379.16
AND3,000,83.51,50.63,14.48,576.39
AND3,001,69.10,45.72,2.42,449.05
AND3,010,83.51,50.63,14.48,391.68
AND3,011,69.10,45.72,2.42,318.81
AND3,100,83.51,50.63,14.48,382.60
AND3,101,69.10,45.72,2.42,309.73
AND3,110,83.51,50.63,14.48,408.02
AND3,111,69.10,45.72,2.42,335.15
AND4,0000,69.10,45.72,2.42,348.19
AND4,0001,69.10,45.72,2.42,389.68
AND4,0010,69.10,45.72,2.42,352.49
AND4,0011,69.10,45.72,2.42,423.03
AND4,0100,69.10,45.72,2.42,389.68
AND4,0101,69.10,45.72,2.42,431.18
AND4,0110,69.10,45.72,2.42,393.98
AND4,0111,69.10,45.72,2.42,464.53
AND4,1000,69.10,45.72,2.42,352.49
AND4,1001,69.10,45.72,2.42,393.98
AND4,1010,69.10,45.72,2.42,356.79
AND4,1011,69.10,45.72,2.42,427.33
AND4,1100,69.10,45.72,2.42,432.11
AND4,1101,69.10,45.72,2.42,473.61
AND4,1110,69.10,45.72,2.42,436.41
AND4,1111,69.10,45.72,2.42,658.32
OR3,000,83.51,50.63,14.48,366.53
OR3,001,69.10,45.72,2.42,309.73
OR3,010,83.51,50.63,14.48,408.02
OR3,011,69.10,45.72,2.42,351.22
OR3,100,83.51,50.63,14.48,370.83
OR3,101,69.10,45.72,2.42,314.03
OR3,110,83.51,50.63,14.48,450.45
OR3,111,69.10,45.72,2.42,545.02
OR4,0000,69.10,45.72,2.42,625.01
OR4,0001,69.10,45.72,2.42,403.10
OR4,0010,69.10,45.72,2.42,394.02
OR4,0011,69.10,45.72,2.42,419.45
OR4,0100,69.10,45.72,2.42,440.30
OR4,0101,69.10,45.72,2.42,272.86
OR4,0110,69.10,45.72,2.42,263.78
OR4,0111,69.10,45.72,2.42,289.20
OR4,1000,69.10,45.72,2.42,431.22
OR4,1001,69.10,45.72,2.42,263.78
OR4,1010,69.10,45.72,2.42,254.70
OR4,1011,69.10,45.72,2.42,280.13
OR4,1100,69.10,45.72,2.42,456.64
OR4,1101,69.10,45.72,2.42,289.20
OR4,1110,69.10,45.72,2.42,280.13
OR4,1111,69.10,45.72,2.42,305.55
Inverter,0,83.51,50.63,14.48,148.62
Inverter,1,69.10,45.72,2.42,117.24
NAND,00,69.10,45.72,2.42,130.28
NAND,01,69.10,45.72,2.42,171.77
NAND,10,69.10,45.72,2.42,134.58
NAND,11,69.10,45.72,2.42,230.54
NOR,00,69.10,45.72,2.42,197.24
NOR,01,69.10,45.72,2.42,71.29
NOR,10,69.10,45.72,2.42,62.21
NOR,11,69.10,45.72,2.42,87.64
AND2,00,69.10,45.72,2.42,247.51
AND2,01,69.10,45.72,2.42,289.01
AND2,10,69.10,45.72,2.42,251.81
AND2,11,83.51,50.63,14.48,379.16
AND3,000,83.51,50.63,14.48,576.39
AND3,001,69.10,45.72,2.42,449.05
AND3,010,83.51,50.63,14.48,391.68
AND3,011,69.10,45.72,2.42,318.81
AND3,100,83.51,50.63,14.48,382.60
AND3,101,69.10,45.72,2.42,309.73
AND3,110,83.51,50.63,14.48,408.02
AND3,111,69.10,45.72,2.42,335.15
AND4,0000,69.10,45.72,2.42,348.19
AND4,0001,69.10,45.72,2.42,389.68
AND4,0010,69.10,45.72,2.42,352.49
AND4,0011,69.10,45.72,2.42,423.03
AND4,0100,69.10,45.72,2.42,389.68
AND4,0101,69.10,45.72,2.42,431.18
AND4,0110,69.10,45.72,2.42,393.98
AND4,0111,69.10,45.72,2.42,464.53
AND4,1000,69.10,45.72,2.42,352.49
AND4,1001,69.10,45.72,2.42,393.98
AND4,1010,69.10,45.72,2.42,356.79
AND4,1011,69.10,45.72,2.42,427.33
AND4,1100,69.10,45.72,2.42,432.11
AND4,1101,69.10,45.72,2.42,473.61
AND4,1110,69.10,45.72,2.42,436.41
AND4,1111,69.10,45.72,2.42,658.32
OR3,000,83.51,50.63,14.48,366.53
OR3,001,69.10,45.72,2.42,309.73
OR3,010,83.51,50.63,14.48,408.02
OR3,011,69.10,45.72,2.42,351.22
OR3,100,83.51,50.63,14.48,370.83
OR3,101,69.10,45.72,2.42,314.03
OR3,110,83.51,50.63,14.48,450.45
OR3,111,69.10,45.72,2.42,545.02
OR4,0000,69.10,45.72,2.42,625.01
OR4,0001,69.10,45.72,2.42,403.10
OR4,0010,69.10,45.72,2.42,394.02
OR4,0011,69.10,45.72,2.42,419.45
OR4,0100,69.10,45.72,2.42,440.30
OR4,0101,69.10,45.72,2.42,272.86
OR4,0110,69.10,45.72,2.42,263.78
OR4,0111,69.10,45.72,2.42,289.20
OR4,1000,69.10,45.72,2.42,431.22
OR4,1001,69.10,45.72,2.42,263.78
OR4,1010,69.10,45.72,2.42,254.70
OR4,1011,69.10,45.72,2.42,280.13
OR4,1100,69.10,45.72,2.42,456.64
OR4,1101,69.10,45.72,2.42,289.20
OR4,1110,69.10,45.72,2.42,280.13
OR4,1111,69.10,45.72,2.42,305.55
Inverter,0,83.51,50.63,14.48,148.62
Inverter,1,69.10,45.72,2.42,117.24
NAND,00,69.10,45.72,2.42,130.28
NAND,01,69.10,45.72,2.42,171.77
NAND,10,69.10,45.72,2.42,134.58
NAND,11,69.10,45.72,2.42,230.54
NOR,00,69.10,45.72,2.42,197.24
NOR,01,69.10,45.72,2.42,71.29
NOR,10,69.10,45.72,2.42,62.21
NOR,11,69.10,45.72,2.42,87.64
AND2,00,69.10,45.72,2.42,247.51
AND2,01,69.10,45.72,2.42,289.01
AND2,10,69.10,45.72,2.42,251.81
AND2,11,83.51,50.63,14.48,379.16
AND3,000,83.51,50.63,14.48,576.39
AND3,001,69.10,45.72,2.42,449.05
AND3,010,83.51,50.63,14.48,391.68
AND3,011,69.10,45.72,2.42,318.81
AND3,100,83.51,50.63,14.48,382.60
AND3,101,69.10,45.72,2.42,309.73
AND3,110,83.51,50.63,14.48,408.02
AND3,111,69.10,45.72,2.42,335.15
AND4,0000,69.10,45.72,2.42,348.19
AND4,0001,69.10,45.72,2.42,389.68
AND4,0010,69.10,45.72,2.42,352.49
AND4,0011,69.10,45.72,2.42,423.03
AND4,0100,69.10,45.72,2.42,389.68
AND4,0101,69.10,45.72,2.42,431.18
AND4,0110,69.10,45.72,2.42,393.98
AND4,0111,69.10,45.72,2.42,464.53
AND4,1000,69.10,45.72,2.42,352.49
AND4,1001,69.10,45.72,2.42,393.98
AND4,1010,69.10,45.72,2.42,356.79
AND4,1011,69.10,45.72,2.42,427.33
AND4,1100,69.10,45.72,2.42,432.11
AND4,1101,69.10,45.72,2.42,473.61
AND4,1110,69.10,45.72,2.42,436.41
AND4,1111,69.10,45.72,2.42,658.32
OR3,000,83.51,50.63,14.48,366.53
OR3,001,69.10,45.72,2.42,309.73
OR3,010,83.51,50.63,14.48,408.02
OR3,011,69.10,45.72,2.42,351.22
OR3,100,83.51,50.63,14.48,370.83
OR3,101,69.10,45.72,2.42,314.03
OR3,110,83.51,50.63,14.48,450.45
OR3,111,69.10,45.72,2.42,545.02
OR4,0000,69.10,45.72,2.42,625.01
OR4,0001,69.10,45.72,2.42,403.10
OR4,0010,69.10,45.72,2.42,394.02
OR4,0011,69.10,45.72,2.42,419.45
OR4,0100,69.10,45.72,2.42,440.30
OR4,0101,69.10,45.72,2.42,272.86
OR4,0110,69.10,45.72,2.42,263.78
OR4,0111,69.10,45.72,2.42,289.20
OR4,1000,69.10,45.72,2.42,431.22
OR4,1001,69.10,45.72,2.42,263.78
OR4,1010,69.10,45.72,2.42,254.70
OR4,1011,69.10,45.72,2.42,280.13
OR4,1100,69.10,45.72,2.42,456.64
OR4,1101,69.10,45.72,2.42,289.20
OR4,1110,69.10,45.72,2.42,280.13
OR4,1111,69.10,45.72,2.42,305.55
